last_name,first_name,state,party,bioguide_id,opensecrets_id,cspan_id,govtrack_id,votesmart_id,icpsr_id
Bergman,Jack,MI,Republican,B001301,N00039533,1020529,412709,170172,21704
Mitchell,Paul,MI,Republican,M001201,N00036274,103809,412710,152464,21737
Lewis,Jason,MN,Republican,L000587,N00038400,155,412711,171558,21733
Budd,Ted,NC,Republican,B001305,N00039551,103513,412712,171489,21708
Bacon,Don,NE,Republican,B001298,N00037049,103442,412713,166299,21701
Gottheimer,Josh,NJ,Democrat,G000583,N00036944,9275683,412714,169202,21723
Rosen,Jacky,NV,Democrat,R000608,N00038734,104738,412715,169471,21743
Kihuen,Ruben,NV,Democrat,K000390,N00033530,79707,412716,66851,21729
Suozzi,Thomas,NY,Democrat,S001201,N00038742,104747,412717,92111,21747
Espaillat,Adriano,NY,Democrat,E000297,N00034549,68413,412718,14379,21715
Faso,John,NY,Republican,F000464,N00037288,1021406,412719,4311,21716
Tenney,Claudia,NY,Republican,T000478,N00036351,103481,412720,127668,21749
Fitzpatrick,Brian,PA,Republican,F000466,N00038779,103537,412721,167708,21718
Smucker,Lloyd,PA,Republican,S001199,N00038781,103540,412722,102454,21745
GonzÃ¡lez-ColÃ_n,Jenniffer,PR,Republican,G000582,N00037615,67353,412723,,
Kustoff,David,TN,Republican,K000392,N00025445,28903,412724,48997,21731
Gonzalez,Vicente,TX,Democrat,G000581,N00038809,103568,412725,166483,21722
Arrington,Jodey,TX,Republican,A000375,N00038285,1016482,412726,155685,21700
Taylor,Scott,VA,Republican,T000477,N00031263,96047,412727,144514,21748
McEachin,A.,VA,Democrat,M001200,N00039327,103621,412728,8230,21736
Garrett,Thomas,VA,Republican,G000580,N00038847,103625,412729,134493,21721
Jayapal,Pramila,WA,Democrat,J000298,N00038858,9267128,412730,153141,21726
Gallagher,Mike,WI,Republican,G000579,N00039330,104067,412731,171843,21720
Cheney,Liz,WY,Republican,C001109,N00035504,86147,412732,145932,21710
Strange,Luther,AL,Republican,S001202,,9278255,412734,121424,41704
Estes,Ron,KS,Republican,E000298,,107963,412735,125031,
